issue,year,n,prop,prop_lib,prop_cons
abdefect,1982,1775,0.8214084507042253,0.8293172690763052,0.8147410358565738
abhlth,1982,1800,0.9038888888888889,0.9284294234592445,0.8914728682170543
abnomore,1982,1763,0.45830969937606353,0.5633802816901409,0.39363817097415504
abpoor,1982,1773,0.4895657078398195,0.582,0.4268774703557312
abrape,1982,1770,0.8389830508474576,0.8628230616302187,0.8035363457760314
absingle,1982,1764,0.4552154195011338,0.5533199195171026,0.4015748031496063
busing,1982,1796,0.267260579064588,0.38755020080321284,0.1833976833976834
cappun,1982,1737,0.27288428324697755,0.35208333333333336,0.23061630218687873
colath,1982,1783,0.45148625911385304,0.5887096774193549,0.3930635838150289
colcom,1982,1702,0.46533490011750883,0.6016949152542372,0.378698224852071
colhomo,1982,1757,0.5702902675014229,0.6842105263157895,0.49606299212598426
colmil,1982,1742,0.38978185993111364,0.5192697768762677,0.3156862745098039
colrac,1982,1772,0.41817155756207675,0.49,0.4090019569471624
fehome,1982,1809,0.7175234936428966,0.7712031558185405,0.6525096525096525
fework,1982,1824,0.7456140350877193,0.793713163064833,0.6800766283524904
gunlaw,1982,1814,0.7425578831312017,0.7874015748031497,0.6908396946564885
homosex,1982,1771,0.19988706945228685,0.3204868154158215,0.130859375
letdie1,1982,1763,0.5819625638116847,0.6146044624746451,0.5542168674698795
libath,1982,1790,0.5983240223463687,0.674,0.54510556621881
libcom,1982,1739,0.5756181713628522,0.6680327868852459,0.5502958579881657
libhomo,1982,1772,0.5671557562076749,0.6365461847389559,0.5243664717348928
libmil,1982,1766,0.5532276330690826,0.6132264529058116,0.5263157894736842
librac,1982,1771,0.5917560700169395,0.6332665330661322,0.5862745098039216
premarsx,1982,1794,0.6254180602006689,0.7445544554455445,0.5087378640776699
racfew,1982,1839,0.9434475258292551,0.9629629629629629,0.9430740037950665
rachaf,1982,1703,0.8496770405167352,0.8991769547325102,0.8045267489711934
racmar,1982,1802,0.7430632630410655,0.83399209486166,0.6641074856046065
racmost,1982,1409,0.6664300922640171,0.7300469483568075,0.5978835978835979
racpush,1982,1807,0.47315993359158826,0.5900990099009901,0.4247104247104247
racseg,1982,1817,0.7567418822234453,0.822265625,0.7601547388781431
sexeduc,1982,1800,0.8466666666666667,0.8954635108481263,0.8070175438596491
spkath,1982,1824,0.625,0.6936758893280632,0.6007604562737643
spkcom,1982,1771,0.5657820440429137,0.6788617886178862,0.5183044315992292
spkhomo,1982,1767,0.6689303904923599,0.7530120481927711,0.621301775147929
spkmil,1982,1788,0.5363534675615212,0.6227544910179641,0.49230769230769234
spkrac,1982,1799,0.5808782657031685,0.6600397614314115,0.5799614643545279
suicide1,1982,1768,0.4264705882352941,0.48367346938775513,0.4116504854368932
suicide2,1982,1819,0.07696536558548653,0.12127236580516898,0.06857142857142857
suicide3,1982,1816,0.07819383259911894,0.11706349206349206,0.06883365200764818
suicide4,1982,1790,0.1335195530726257,0.17575757575757575,0.13102119460500963
wirtap,1982,1773,0.8245910885504795,0.8380566801619433,0.7465618860510805
xmarsex,1982,1821,0.13783635365183966,0.18972332015810275,0.09386973180076628
abany,1983,1515,0.3425742574257426,0.4180790960451977,0.30739299610894943
abdefect,1983,1514,0.7886393659180978,0.8045977011494253,0.7315175097276264
